Date,Open,High,Low,Close,Volume,Adj Close
1/21/2015,507.25,519.28,506.2,518.04,2244300,518.04
1/20/2015,511,512.5,506.02,506.9,2221800,506.9
1/16/2015,500.01,508.19,500,508.08,2286900,508.08
1/15/2015,505.57,505.68,497.76,501.79,2708400,501.79
1/14/2015,494.65,503.23,493,500.87,2209500,500.87
1/13/2015,498.84,502.98,492.39,496.18,2364000,496.18
1/12/2015,494.94,495.98,487.56,492.55,2316000,492.55
1/9/2015,504.76,504.92,494.79,496.17,2063700,496.17
1/8/2015,497.99,503.48,491,502.68,3331800,502.68
1/7/2015,507,507.24,499.65,501.1,2059400,501.1
1/6/2015,515,516.17,501.05,501.96,2881300,501.96
1/5/2015,523.26,524.33,513.06,513.87,2031400,513.87
1/2/2015,529.01,531.27,524.1,524.81,1443600,524.81
12/31/2014,531.25,532.6,525.8,526.4,1364500,526.4
12/30/2014,528.37,531.07,527.3,530.39,30100,530.39
12/29/2014,532.19,535.48,530.01,530.33,2272300,530.33
12/26/2014,528.77,534.25,527.31,534.03,1033200,534.03
12/24/2014,530.51,531.76,527.02,528.77,704000,528.77
12/23/2014,527,534.56,526.29,530.59,2145800,530.59
12/22/2014,516.08,526.46,516.08,524.87,2716300,524.87
12/19/2014,511.51,517.72,506.91,516.35,3566200,516.35
12/18/2014,512.95,513.87,504.7,511.1,2905700,511.1
12/17/2014,497,507,496.81,504.89,2853400,504.89
12/16/2014,511.56,513.05,489,495.39,3937700,495.39
12/15/2014,522.74,523.1,513.27,513.8,2805700,513.8
12/12/2014,523.51,528.5,518.66,518.66,1971900,518.66
12/11/2014,527.8,533.92,527.1,528.34,1602300,528.34
12/10/2014,533.08,536.33,525.56,526.06,1707600,526.06
12/9/2014,522.14,534.19,520.5,533.37,1866200,533.37
12/8/2014,527.13,531,523.79,526.98,2323000,526.98
12/5/2014,531,532.89,524.28,525.26,2552700,525.26
12/4/2014,531.16,537.34,528.59,537.31,1388300,537.31
12/3/2014,531.44,536,529.26,531.32,1274500,531.32
12/2/2014,533.51,535.5,529.8,533.75,1521600,533.75
12/1/2014,538.9,541.41,531.86,533.8,2100000,533.8
11/28/2014,540.62,542,536.6,541.83,1145200,541.83
11/26/2014,540.88,541.55,537.04,540.37,1518800,540.37
11/25/2014,539,543.98,538.6,541.08,1784200,541.08
11/24/2014,537.65,542.7,535.62,539.27,1701300,539.27
11/21/2014,541.61,542.14,536.56,537.5,2217600,537.5
11/20/2014,531.25,535.11,531.08,534.83,1557700,534.83
11/19/2014,535,538.24,530.08,536.99,1387800,536.99
11/18/2014,537.5,541.94,534.17,535.03,1957300,535.03
11/17/2014,543.58,543.79,534.06,536.51,1721100,536.51
11/14/2014,546.68,546.68,542.15,544.4,1285700,544.4
11/13/2014,549.8,549.8,543.48,545.38,1335700,545.38
11/12/2014,550.39,550.46,545.17,547.31,1126300,547.31
11/11/2014,548.49,551.94,546.3,550.29,962900,550.29
11/10/2014,541.46,549.59,541.02,547.49,1131500,547.49
11/7/2014,546.21,546.21,538.67,541.01,1629300,541.01
11/6/2014,545.5,546.89,540.97,542.04,1329600,542.04
11/5/2014,556.8,556.8,544.05,545.92,2026700,545.92
11/4/2014,553,555.5,549.3,554.11,1240800,554.11
11/3/2014,555.5,557.9,553.23,555.22,1378500,555.22
10/31/2014,559.35,559.57,554.75,559.08,2029500,559.08
10/30/2014,548.95,552.8,543.51,550.31,1451500,550.31
10/29/2014,550,554.19,546.98,549.33,1765700,549.33
10/28/2014,543,548.98,541.62,548.9,1267500,548.9
10/27/2014,537.03,544.41,537.03,540.77,1182100,540.77
10/24/2014,544.36,544.88,535.79,539.78,1967700,539.78
10/23/2014,539.32,547.22,535.85,543.98,2342400,543.98
10/22/2014,529.89,539.8,528.8,532.71,2911300,532.71
10/21/2014,525.19,526.79,519.11,526.54,2329900,526.54
10/20/2014,509.45,521.76,508.1,520.84,2600400,520.84
10/17/2014,527.25,530.98,508.53,511.17,5524200,511.17
10/16/2014,519,529.43,515,524.51,3698400,524.51
10/15/2014,531.01,532.8,518.3,530.03,3709200,530.03
10/14/2014,538.9,547.19,533.17,537.94,2216500,537.94
10/13/2014,544.99,549.5,533.1,533.21,2574600,533.21
10/10/2014,557.72,565.13,544.05,544.49,3073500,544.49
10/9/2014,571.18,571.49,559.06,560.88,2517900,560.88
10/8/2014,565.57,573.88,557.49,572.5,1985400,572.5
10/7/2014,574.4,575.27,563.74,563.74,1906100,563.74
10/6/2014,578.8,581,574.44,577.35,1211300,577.35
10/3/2014,573.05,577.22,572.5,575.28,1138600,575.28
10/2/2014,567.31,571.91,563.32,570.08,1175200,570.08
10/1/2014,576.01,577.58,567.01,568.27,1441500,568.27
9/30/2014,576.93,579.85,572.85,577.36,1617300,577.36
9/29/2014,571.75,578.19,571.17,576.36,1278900,576.36
9/26/2014,576.06,579.25,574.66,577.1,1439700,577.1
9/25/2014,587.55,587.98,574.18,575.06,1920700,575.06
9/24/2014,581.46,589.63,580.52,587.99,1723400,587.99
9/23/2014,586.85,586.85,581,581.13,1467400,581.13
9/22/2014,593.82,593.95,583.46,587.37,1684900,587.37
9/19/2014,591.5,596.48,589.5,596.08,3726400,596.08
9/18/2014,587,589.54,585,589.27,1440600,589.27
9/17/2014,580.01,587.52,578.78,584.77,1688200,584.77
9/16/2014,572.76,581.5,572.66,579.95,1476300,579.95
9/15/2014,572.94,574.95,568.21,573.1,1593200,573.1
9/12/2014,581,581.64,574.46,575.62,1597300,575.62
9/11/2014,580.36,581.81,576.26,581.35,1217700,581.35
9/10/2014,581.5,583.5,576.94,583.1,974700,583.1
9/9/2014,588.9,589,580,581.01,1283700,581.01
9/8/2014,586.6,591.77,586.3,589.72,1427100,589.72
9/5/2014,583.98,586.55,581.95,586.08,1627900,586.08
9/4/2014,580,586,579.22,581.98,1454200,581.98
9/3/2014,580,582.99,575,577.94,1211800,577.94
9/2/2014,571.85,577.83,571.19,577.33,1574100,577.33
8/29/2014,571.33,572.04,567.07,571.6,1080800,571.6
8/28/2014,569.56,573.25,567.1,569.2,1289400,569.2
8/27/2014,577.27,578.49,570.1,571,1698700,571
8/26/2014,581.26,581.8,576.58,577.86,1635200,577.86
8/25/2014,584.72,585,579,580.2,1357700,580.2
8/22/2014,583.59,585.24,580.64,582.56,786900,582.56
8/21/2014,583.82,584.5,581.14,583.37,912300,583.37
8/20/2014,585.88,586.7,582.57,584.49,1033900,584.49
8/19/2014,585,587.34,584,586.86,976000,586.86
8/18/2014,576.11,584.51,576,582.16,1280600,582.16
8/15/2014,577.86,579.38,570.52,573.48,1515000,573.48
8/14/2014,576.18,577.9,570.88,574.65,982800,574.65
8/13/2014,567.31,575,565.75,574.78,1437900,574.78
8/12/2014,564.52,565.9,560.88,562.73,1537800,562.73
8/11/2014,569.99,570.49,566,567.88,1211400,567.88
8/8/2014,563.56,570.25,560.35,568.77,1490700,568.77
8/7/2014,568,569.89,561.1,563.36,1107900,563.36
8/6/2014,561.78,570.7,560,566.37,1330700,566.37
8/5/2014,570.05,571.98,562.61,565.07,1547000,565.07
8/4/2014,569.04,575.35,564.1,573.15,1423400,573.15
8/1/2014,570.4,575.96,562.85,566.07,1949900,566.07
7/31/2014,580.6,583.65,570,571.6,2097000,571.6
7/30/2014,586.55,589.5,584,587.42,1013700,587.42
7/29/2014,588.75,589.7,583.52,585.61,1346200,585.61
7/28/2014,588.07,592.5,584.75,590.6,984100,590.6
7/25/2014,590.4,591.86,587.03,589.02,929900,589.02
7/24/2014,596.45,599.5,591.77,593.35,1032300,593.35
7/23/2014,593.23,597.85,592.5,595.98,1229800,595.98
7/22/2014,590.72,599.65,590.6,594.74,1694500,594.74
7/21/2014,591.75,594.4,585.23,589.47,2056500,589.47
7/18/2014,593,596.8,582,595.08,4003200,595.08
7/17/2014,579.53,580.99,568.61,573.73,3008300,573.73
7/16/2014,588,588.4,582.2,582.66,1393300,582.66
7/15/2014,585.74,585.8,576.56,584.78,1618600,584.78
7/14/2014,582.6,585.21,578.03,584.87,1849000,584.87
7/11/2014,571.91,580.85,571.42,579.18,1617300,579.18
7/10/2014,565.91,576.59,565.01,571.1,1353000,571.1
7/9/2014,571.58,576.72,569.38,576.08,1113700,576.08
7/8/2014,577.66,579.53,566.14,571.09,1904300,571.09
7/7/2014,583.76,586.43,579.59,582.25,1061700,582.25
7/3/2014,583.35,585.01,580.92,584.73,712200,584.73
7/2/2014,583.35,585.44,580.39,582.34,1053500,582.34
7/1/2014,578.32,584.4,576.65,582.67,1444000,582.67
6/30/2014,578.66,579.57,574.75,575.28,1310200,575.28
6/27/2014,577.18,579.87,573.8,577.24,2230800,577.24
6/26/2014,581,582.45,571.85,576,1737200,576
6/25/2014,565.26,579.96,565.22,578.65,1964000,578.65
6/24/2014,565.19,572.65,561.01,564.62,2201100,564.62
6/23/2014,555.15,565,554.25,564.95,1532600,564.95
6/20/2014,556.85,557.58,550.39,556.36,4496000,556.36
6/19/2014,554.24,555,548.51,554.9,2450100,554.9
6/18/2014,544.86,553.56,544,553.37,1737000,553.37
6/17/2014,544.2,545.32,539.33,543.01,1440600,543.01
6/16/2014,549.26,549.62,541.52,544.28,1697900,544.28
6/13/2014,552.26,552.3,545.56,551.76,1217200,551.76
6/12/2014,557.3,557.99,548.46,551.35,1454500,551.35
6/11/2014,558,559.88,555.02,558.84,1097100,558.84
6/10/2014,560.51,563.6,557.9,560.55,1348000,560.55
6/9/2014,557.15,562.9,556.04,562.12,1463500,562.12
6/6/2014,558.06,558.06,548.93,556.33,1732000,556.33
6/5/2014,546.4,554.95,544.45,553.9,1684500,553.9
6/4/2014,541.5,548.61,538.75,544.66,1811500,544.66
6/3/2014,550.99,552.34,542.55,544.94,1861500,544.94
6/2/2014,560.7,560.9,545.73,553.93,1431100,553.93
5/30/2014,560.8,561.35,555.91,559.89,1766300,559.89
5/29/2014,563.35,564,558.71,560.08,1350400,560.08
5/28/2014,564.57,567.84,561,561.68,1647500,561.68
5/27/2014,556,566,554.35,565.95,2098400,565.95
5/23/2014,547.26,553.64,543.7,552.7,1926900,552.7
5/22/2014,541.13,547.6,540.78,545.06,1611400,545.06
5/21/2014,532.9,539.18,531.91,538.94,1193000,538.94
5/20/2014,529.74,536.23,526.3,529.77,1779900,529.77
5/19/2014,519.7,529.78,517.58,528.86,1274300,528.86
5/16/2014,521.39,521.8,515.44,520.63,1481200,520.63
5/15/2014,525.7,525.87,517.42,519.98,1699700,519.98
5/14/2014,533,533,525.29,526.65,1188500,526.65
5/13/2014,530.89,536.07,529.51,533.09,1648900,533.09
5/12/2014,523.51,530.19,519.01,529.92,1907300,529.92
5/9/2014,510.75,519.9,504.2,518.73,2432800,518.73
5/8/2014,508.46,517.23,506.45,511,2015800,511
5/7/2014,515.79,516.68,503.3,509.96,3215500,509.96
5/6/2014,525.23,526.81,515.06,515.14,1684400,515.14
5/5/2014,524.82,528.9,521.32,527.81,1021300,527.81
5/2/2014,533.76,534,525.61,527.93,1683900,527.93
5/1/2014,527.11,532.93,523.88,531.35,1900300,531.35
4/30/2014,527.6,528,522.52,526.66,1746400,526.66
4/29/2014,516.9,529.46,516.32,527.7,2691700,527.7
4/28/2014,517.18,518.6,502.8,517.15,3326400,517.15
4/25/2014,522.51,524.7,515.42,516.18,2094600,516.18
4/24/2014,530.07,531.65,522.12,525.16,1878000,525.16
4/23/2014,533.79,533.87,526.25,526.94,2046700,526.94
4/22/2014,528.64,537.23,527.51,534.81,2358900,534.81
4/21/2014,536.1,536.7,525.6,528.62,2559700,528.62
4/17/2014,548.81,549.5,531.15,536.1,6790900,536.1
4/16/2014,543,557,540,556.54,4879900,556.54
4/15/2014,536.82,538.45,518.46,536.44,3844500,536.44
4/14/2014,538.25,544.1,529.56,532.52,2568000,532.52
4/11/2014,532.55,540,526.53,530.6,3914100,530.6
4/10/2014,565,565,539.9,540.95,4025800,540.95
4/9/2014,559.62,565.37,552.95,564.14,3321700,564.14
4/8/2014,542.6,555,541.61,554.9,3142600,554.9
4/7/2014,540.74,548.48,527.15,538.15,4389600,538.15
4/4/2014,574.65,577.77,543,543.14,6351900,543.14
4/3/2014,569.85,587.28,564.13,569.74,5085200,569.74
4/2/2014,599.99,604.83,562.19,567,146700,567
4/1/2014,558.71,568.45,558.71,567.16,7900,567.16
3/31/2014,566.89,567,556.93,556.97,10800,556.97
3/28/2014,561.2,566.43,558.67,559.99,41100,559.99
3/27/2014,568,568,552.92,558.46,13100,558.46
